section,subfolder,filename,date,doc_type,facility_or_case,ext,path
05_Air_Quality_Permit_95OPBO082,Inspection_and_Stack_Test_Reports,2_1_2024_013-0003_2023 RPT PART 2_95OPBO082_2_1_2024.pdf,,Report,95OPBO082 (air permit),pdf,05_Air_Quality_Permit_95OPBO082/Inspection_and_Stack_Test_Reports/2_1_2024_013-0003_2023 RPT PART 2_95OPBO082_2_1_2024.pdf
05_Air_Quality_Permit_95OPBO082,Inspection_and_Stack_Test_Reports,2_27_2025_013-0003_2025 RPT_95OPBO082_2_3_2025.pdf,,Report,95OPBO082 (air permit),pdf,05_Air_Quality_Permit_95OPBO082/Inspection_and_Stack_Test_Reports/2_27_2025_013-0003_2025 RPT_95OPBO082_2_3_2025.pdf
05_Air_Quality_Permit_95OPBO082,Inspection_and_Stack_Test_Reports,4_26_2024_013-0003_2024 Q1 RPT_95OPBO082_4_25_2024.pdf,,Report,95OPBO082 (air permit),pdf,05_Air_Quality_Permit_95OPBO082/Inspection_and_Stack_Test_Reports/4_26_2024_013-0003_2024 Q1 RPT_95OPBO082_4_25_2024.pdf
05_Air_Quality_Permit_95OPBO082,Inspection_and_Stack_Test_Reports,6_21_2024_013-0003_CEMS_95OPBO082_7_30_2024 (1).pdf,,Document,95OPBO082 (air permit),pdf,05_Air_Quality_Permit_95OPBO082/Inspection_and_Stack_Test_Reports/6_21_2024_013-0003_CEMS_95OPBO082_7_30_2024 (1).pdf
05_Air_Quality_Permit_95OPBO082,Inspection_and_Stack_Test_Reports,6_25_2012_013-0003-007_APEN_95OPBO082_5_1_2000.pdf,,Document,95OPBO082 (air permit),pdf,05_Air_Quality_Permit_95OPBO082/Inspection_and_Stack_Test_Reports/6_25_2012_013-0003-007_APEN_95OPBO082_5_1_2000.pdf
05_Air_Quality_Permit_95OPBO082,Inspection_and_Stack_Test_Reports,7_23_2024_013-0003_CRSPD__7_25_2024.pdf,,Document,95OPBO082 (air permit),pdf,05_Air_Quality_Permit_95OPBO082/Inspection_and_Stack_Test_Reports/7_23_2024_013-0003_CRSPD__7_25_2024.pdf
05_Air_Quality_Permit_95OPBO082,Inspection_and_Stack_Test_Reports,7_31_2024_013-0003_2024 RPT_95OPBO082_7_30_2024.pdf,,Report,95OPBO082 (air permit),pdf,05_Air_Quality_Permit_95OPBO082/Inspection_and_Stack_Test_Reports/7_31_2024_013-0003_2024 RPT_95OPBO082_7_30_2024.pdf
05_Air_Quality_Permit_95OPBO082,Inspection_and_Stack_Test_Reports,8_1_2022_013-0003_2022 RPT_95OPBO082_8_1_2022.pdf,,Report,95OPBO082 (air permit),pdf,05_Air_Quality_Permit_95OPBO082/Inspection_and_Stack_Test_Reports/8_1_2022_013-0003_2022 RPT_95OPBO082_8_1_2022.pdf
05_Air_Quality_Permit_95OPBO082,Inspection_and_Stack_Test_Reports,8_1_2024_013-0003_2024 RPT_95OPBO082_8_1_2024.pdf,,Report,95OPBO082 (air permit),pdf,05_Air_Quality_Permit_95OPBO082/Inspection_and_Stack_Test_Reports/8_1_2024_013-0003_2024 RPT_95OPBO082_8_1_2024.pdf
05_Air_Quality_Permit_95OPBO082,Inspection_and_Stack_Test_Reports,8_7_2024_013-0003-008_2024 STK TST_95OPBO082_7_8_2024.pdf,,Stack test,95OPBO082 (air permit),pdf,05_Air_Quality_Permit_95OPBO082/Inspection_and_Stack_Test_Reports/8_7_2024_013-0003-008_2024 STK TST_95OPBO082_7_8_2024.pdf
05_Air_Quality_Permit_95OPBO082,Inspection_and_Stack_Test_Reports,8_8_2024_013-0003-007_2024 STK TST_95OPBO082_7_9_2024.pdf,,Stack test,95OPBO082 (air permit),pdf,05_Air_Quality_Permit_95OPBO082/Inspection_and_Stack_Test_Reports/8_8_2024_013-0003-007_2024 STK TST_95OPBO082_7_9_2024.pdf
05_Air_Quality_Permit_95OPBO082,Inspection_and_Stack_Test_Reports,"CEMEX Construction Materials South, LLC - Lyons Cement Plant_  Revised Permit (11_17_17) - 95OPBO082 renew2 p01.pdf",2017-11-17,Permit,95OPBO082 (air permit),pdf,"05_Air_Quality_Permit_95OPBO082/Inspection_and_Stack_Test_Reports/CEMEX Construction Materials South, LLC - Lyons Cement Plant_  Revised Permit (11_17_17) - 95OPBO082 renew2 p01.pdf"
05_Air_Quality_Permit_95OPBO082,Inspection_and_Stack_Test_Reports,Data History - 013-0003-001_2007 INSP RPT_05BO0703_11_7_2007.pdf,,Inspection,95OPBO082 (air permit),pdf,05_Air_Quality_Permit_95OPBO082/Inspection_and_Stack_Test_Reports/Data History - 013-0003-001_2007 INSP RPT_05BO0703_11_7_2007.pdf
05_Air_Quality_Permit_95OPBO082,Inspection_and_Stack_Test_Reports,GHG Permitting Guidance - EPA.pdf,,Permit,95OPBO082 (air permit),pdf,05_Air_Quality_Permit_95OPBO082/Inspection_and_Stack_Test_Reports/GHG Permitting Guidance - EPA.pdf
05_Air_Quality_Permit_95OPBO082,Inspection_and_Stack_Test_Reports,RHP PO CEMEX LYONS__7_12_2018.pdf,,Document,95OPBO082 (air permit),pdf,05_Air_Quality_Permit_95OPBO082/Inspection_and_Stack_Test_Reports/RHP PO CEMEX LYONS__7_12_2018.pdf
05_Air_Quality_Permit_95OPBO082,Inspection_and_Stack_Test_Reports,view.html,,Document,95OPBO082 (air permit),html,05_Air_Quality_Permit_95OPBO082/Inspection_and_Stack_Test_Reports/view.html
05_Air_Quality_Permit_95OPBO082,Permits_and_Technical_Reviews,CEMEX-Construction-Materials-South-Addendum-Revised-Technical-Review-Doc-July-2009.pdf,2009-00-00,Document,95OPBO082 (air permit),pdf,05_Air_Quality_Permit_95OPBO082/Permits_and_Technical_Reviews/CEMEX-Construction-Materials-South-Addendum-Revised-Technical-Review-Doc-July-2009.pdf
05_Air_Quality_Permit_95OPBO082,Permits_and_Technical_Reviews,CEMEX-Construction-Materials-South-Revised-Technical-Review-DOC-Mar-2008.pdf,2008-00-00,Document,95OPBO082 (air permit),pdf,05_Air_Quality_Permit_95OPBO082/Permits_and_Technical_Reviews/CEMEX-Construction-Materials-South-Revised-Technical-Review-DOC-Mar-2008.pdf
05_Air_Quality_Permit_95OPBO082,Permits_and_Technical_Reviews,CEMEX-Construction-Materials-South-Revised-Technical-Review-Doc-Apr-2013.pdf,2013-00-00,Document,95OPBO082 (air permit),pdf,05_Air_Quality_Permit_95OPBO082/Permits_and_Technical_Reviews/CEMEX-Construction-Materials-South-Revised-Technical-Review-Doc-Apr-2013.pdf
05_Air_Quality_Permit_95OPBO082,Permits_and_Technical_Reviews,CEMEX-Construction-Materials-South-Revised-Technical-Review-Doc-Feb-2017.pdf,2017-00-00,Document,95OPBO082 (air permit),pdf,05_Air_Quality_Permit_95OPBO082/Permits_and_Technical_Reviews/CEMEX-Construction-Materials-South-Revised-Technical-Review-Doc-Feb-2017.pdf
05_Air_Quality_Permit_95OPBO082,Permits_and_Technical_Reviews,CEMEX-Construction-Materials-South-Revised-Technical-Review-Doc-Jan-2002.pdf,2002-00-00,Document,95OPBO082 (air permit),pdf,05_Air_Quality_Permit_95OPBO082/Permits_and_Technical_Reviews/CEMEX-Construction-Materials-South-Revised-Technical-Review-Doc-Jan-2002.pdf
05_Air_Quality_Permit_95OPBO082,Permits_and_Technical_Reviews,CEMEX-Construction-Materials-South-Revised-Technical-Review-Doc-Oct-2002.pdf,2002-00-00,Document,95OPBO082 (air permit),pdf,05_Air_Quality_Permit_95OPBO082/Permits_and_Technical_Reviews/CEMEX-Construction-Materials-South-Revised-Technical-Review-Doc-Oct-2002.pdf
05_Air_Quality_Permit_95OPBO082,Permits_and_Technical_Reviews,CEMEX-Construction-Materials-South-Technical-Review-Doc.pdf,,Document,95OPBO082 (air permit),pdf,05_Air_Quality_Permit_95OPBO082/Permits_and_Technical_Reviews/CEMEX-Construction-Materials-South-Technical-Review-Doc.pdf
06_Boulder_County_Land_Use,Comprehensive_Plan_and_IGAs,Exhibit A Lyons Comprehensive Plan.pdf,,Document,,pdf,06_Boulder_County_Land_Use/Comprehensive_Plan_and_IGAs/Exhibit A Lyons Comprehensive Plan.pdf
06_Boulder_County_Land_Use,Comprehensive_Plan_and_IGAs,Exhibit B LPPAMP.pdf,,Document,,pdf,06_Boulder_County_Land_Use/Comprehensive_Plan_and_IGAs/Exhibit B LPPAMP.pdf
06_Boulder_County_Land_Use,Comprehensive_Plan_and_IGAs,Exhibit C LPPAMP Maps.pdf,,Document,,pdf,06_Boulder_County_Land_Use/Comprehensive_Plan_and_IGAs/Exhibit C LPPAMP Maps.pdf
06_Boulder_County_Land_Use,Comprehensive_Plan_and_IGAs,Exhibit D CEMEX IGA.pdf,,Document,,pdf,06_Boulder_County_Land_Use/Comprehensive_Plan_and_IGAs/Exhibit D CEMEX IGA.pdf
06_Boulder_County_Land_Use,Comprehensive_Plan_and_IGAs,Exhibit E CEMEX IGA Map.pdf,,Document,,pdf,06_Boulder_County_Land_Use/Comprehensive_Plan_and_IGAs/Exhibit E CEMEX IGA Map.pdf
06_Boulder_County_Land_Use,Comprehensive_Plan_and_IGAs,Exhibit F C-T IGA.pdf,,Document,,pdf,06_Boulder_County_Land_Use/Comprehensive_Plan_and_IGAs/Exhibit F C-T IGA.pdf
06_Boulder_County_Land_Use,Comprehensive_Plan_and_IGAs,Exhibit G IGA Map.pdf,,Document,,pdf,06_Boulder_County_Land_Use/Comprehensive_Plan_and_IGAs/Exhibit G IGA Map.pdf
06_Boulder_County_Land_Use,Land_Use_Code,"Boulder County Land Use Code Article 4, updated March 29, 2022.pdf",2022-03-29,Document,,pdf,"06_Boulder_County_Land_Use/Land_Use_Code/Boulder County Land Use Code Article 4, updated March 29, 2022.pdf"
06_Boulder_County_Land_Use,Land_Use_Code,"Boulder County Land Use Code Article 4, updated March 29, 2022__1.pdf",2022-03-29,Document,,pdf,"06_Boulder_County_Land_Use/Land_Use_Code/Boulder County Land Use Code Article 4, updated March 29, 2022__1.pdf"
06_Boulder_County_Land_Use,Land_Use_Code,"Floodplain District - Boulder County Land Use Code, updated March 29, 2022.pdf",2022-03-29,Document,,pdf,"06_Boulder_County_Land_Use/Land_Use_Code/Floodplain District - Boulder County Land Use Code, updated March 29, 2022.pdf"
06_Boulder_County_Land_Use,Land_Use_Code,"Outdoor Lighting - Boulder County Land Use Code, updated March 29, 2022.pdf",2022-03-29,Document,,pdf,"06_Boulder_County_Land_Use/Land_Use_Code/Outdoor Lighting - Boulder County Land Use Code, updated March 29, 2022.pdf"
06_Boulder_County_Land_Use,Land_Use_Code,Recreation Uses - 4-510.pdf,,Document,,pdf,06_Boulder_County_Land_Use/Land_Use_Code/Recreation Uses - 4-510.pdf
06_Boulder_County_Land_Use,Land_Use_Code,lc_land_use_code_-_effective_nov_6_2023_clean.pdf,,Document,,pdf,06_Boulder_County_Land_Use/Land_Use_Code/lc_land_use_code_-_effective_nov_6_2023_clean.pdf
06_Boulder_County_Land_Use,Lyons_Area_Rezoning_Z-23-0002,Z-23-0002 Lyons Comprehensive Rezoning_Packet PC 2.21.2024.pdf,2024-02-21,Document,Z-23-0002,pdf,06_Boulder_County_Land_Use/Lyons_Area_Rezoning_Z-23-0002/Z-23-0002 Lyons Comprehensive Rezoning_Packet PC 2.21.2024.pdf
06_Boulder_County_Land_Use,SU-22-0003,5D - Caribou Easement.pdf,,Document,SU-22-0003,pdf,06_Boulder_County_Land_Use/SU-22-0003/5D - Caribou Easement.pdf
06_Boulder_County_Land_Use,SU-22-0003,BL - Thoughts on CEMEX Letter.docx,,Letter,SU-22-0003,docx,06_Boulder_County_Land_Use/SU-22-0003/BL - Thoughts on CEMEX Letter.docx
06_Boulder_County_Land_Use,SU-22-0003,CEMEX Response to Town of Lyons Comments (8.4.22) executed.pdf,2022-08-04,Document,SU-22-0003,pdf,06_Boulder_County_Land_Use/SU-22-0003/CEMEX Response to Town of Lyons Comments (8.4.22) executed.pdf
06_Boulder_County_Land_Use,SU-22-0003,Dale Case - Questions re Dowe Flats.pdf,,Document,SU-22-0003,pdf,06_Boulder_County_Land_Use/SU-22-0003/Dale Case - Questions re Dowe Flats.pdf
06_Boulder_County_Land_Use,SU-22-0003,McCurry_Dowe-Flats_SU-22-0003_Comments_09-09-22draft.docx,,Document,SU-22-0003,docx,06_Boulder_County_Land_Use/SU-22-0003/McCurry_Dowe-Flats_SU-22-0003_Comments_09-09-22draft.docx
06_Boulder_County_Land_Use,SU-22-0003,"OSCAR - Climate, Emissions, Equity impacts of CEMEX - FINAL.pdf",,Document,SU-22-0003,pdf,"06_Boulder_County_Land_Use/SU-22-0003/OSCAR - Climate, Emissions, Equity impacts of CEMEX - FINAL.pdf"
06_Boulder_County_Land_Use,SU-22-0003,Public Comments Sep 7th to 14th.pdf,,Document,SU-22-0003,pdf,06_Boulder_County_Land_Use/SU-22-0003/Public Comments Sep 7th to 14th.pdf
06_Boulder_County_Land_Use,SU-22-0003,Redlined Staff Packet - 8.17.2022.pdf,2022-08-17,Staff packet,SU-22-0003,pdf,06_Boulder_County_Land_Use/SU-22-0003/Redlined Staff Packet - 8.17.2022.pdf
06_Boulder_County_Land_Use,SU-22-0003,Redlined Staff Recommendation.pdf,,Staff recommendation,SU-22-0003,pdf,06_Boulder_County_Land_Use/SU-22-0003/Redlined Staff Recommendation.pdf
06_Boulder_County_Land_Use,SU-22-0003,Sep 1st Memo.pdf,,Memo,SU-22-0003,pdf,06_Boulder_County_Land_Use/SU-22-0003/Sep 1st Memo.pdf
06_Boulder_County_Land_Use,SU-22-0003,Spruce Gulch CE Acquisition.pdf,,Document,SU-22-0003,pdf,06_Boulder_County_Land_Use/SU-22-0003/Spruce Gulch CE Acquisition.pdf
06_Boulder_County_Land_Use,SU-22-0003,Town of Lyons Response - SU-22-0003.pdf,,Document,SU-22-0003,pdf,06_Boulder_County_Land_Use/SU-22-0003/Town of Lyons Response - SU-22-0003.pdf
06_Boulder_County_Land_Use,SU-22-0003,resolution 2022-075 CEMEX Dowe Flats Mining and Reclamation Extension (SU-22-0003).pdf,2022-00-00,Reclamation,SU-22-0003,pdf,06_Boulder_County_Land_Use/SU-22-0003/resolution 2022-075 CEMEX Dowe Flats Mining and Reclamation Extension (SU-22-0003).pdf
06_Boulder_County_Land_Use,SU-22-0003,st-vrain-trail-master-plan.pdf,,Document,SU-22-0003,pdf,06_Boulder_County_Land_Use/SU-22-0003/st-vrain-trail-master-plan.pdf
06_Boulder_County_Land_Use,SU-22-0003,su-22-0003-1-mile-apo-list (1).pdf,,Document,SU-22-0003,pdf,06_Boulder_County_Land_Use/SU-22-0003/su-22-0003-1-mile-apo-list (1).pdf
06_Boulder_County_Land_Use,SU-22-0003,su-22-0003-bocc-staff-recommendation-packet-20220914.pdf,,Document,SU-22-0003,pdf,06_Boulder_County_Land_Use/SU-22-0003/su-22-0003-bocc-staff-recommendation-packet-20220914.pdf
06_Boulder_County_Land_Use,SU-22-0003,su-22-0003-staff-recommendation-packet.pdf,,Document,SU-22-0003,pdf,06_Boulder_County_Land_Use/SU-22-0003/su-22-0003-staff-recommendation-packet.pdf
06_Boulder_County_Land_Use,SU-22-0003,su-22-0003-staff-recommendation-packet__1.pdf,,Document,SU-22-0003,pdf,06_Boulder_County_Land_Use/SU-22-0003/su-22-0003-staff-recommendation-packet__1.pdf
06_Boulder_County_Land_Use,ZON-23-0003_Structural_Enlargement,2024-11-07 Cemex letter to BOCO.pdf,2024-11-07,Letter,ZON-23-0003,pdf,06_Boulder_County_Land_Use/ZON-23-0003_Structural_Enlargement/2024-11-07 Cemex letter to BOCO.pdf
06_Boulder_County_Land_Use,ZON-23-0003_Structural_Enlargement,Ex. A - 2024-05-09 Cemex letter to BOCO.pdf,2024-05-09,Letter,ZON-23-0003,pdf,06_Boulder_County_Land_Use/ZON-23-0003_Structural_Enlargement/Ex. A - 2024-05-09 Cemex letter to BOCO.pdf
06_Boulder_County_Land_Use,ZON-23-0003_Structural_Enlargement,Ex. B - Citizens Complaints.pdf,,Pleading,ZON-23-0003,pdf,06_Boulder_County_Land_Use/ZON-23-0003_Structural_Enlargement/Ex. B - Citizens Complaints.pdf
06_Boulder_County_Land_Use,ZON-23-0003_Structural_Enlargement,Ex. C - Stantec Report.pdf,,Report,ZON-23-0003,pdf,06_Boulder_County_Land_Use/ZON-23-0003_Structural_Enlargement/Ex. C - Stantec Report.pdf
06_Boulder_County_Land_Use,ZON-23-0003_Structural_Enlargement,Ex. D - Landis Report Final signed.pdf,,Report,ZON-23-0003,pdf,06_Boulder_County_Land_Use/ZON-23-0003_Structural_Enlargement/Ex. D - Landis Report Final signed.pdf
06_Boulder_County_Land_Use,ZON-23-0003_Structural_Enlargement,Gmail - Truck traffic figures - 1998 - ZON-23-0003.pdf,1998-00-00,Email,ZON-23-0003,pdf,06_Boulder_County_Land_Use/ZON-23-0003_Structural_Enlargement/Gmail - Truck traffic figures - 1998 - ZON-23-0003.pdf
06_Boulder_County_Land_Use,ZON-23-0003_Structural_Enlargement,Gmail - ZON-23-003 - Reporting Discrepancies.pdf,,Report,ZON-23-0003,pdf,06_Boulder_County_Land_Use/ZON-23-0003_Structural_Enlargement/Gmail - ZON-23-003 - Reporting Discrepancies.pdf
07_EPA_Clean_Air_Act_Case,Background,BoCo Community Planning.png,,Image,,png,07_EPA_Clean_Air_Act_Case/Background/BoCo Community Planning.png
07_EPA_Clean_Air_Act_Case,Background,CemexUpsets-Dec05-1a.jpeg,,Image,,jpeg,07_EPA_Clean_Air_Act_Case/Background/CemexUpsets-Dec05-1a.jpeg
07_EPA_Clean_Air_Act_Case,Background,Oxygen Enrichment - Cement Review - May 2001.pdf,2001-05-00,Document,,pdf,07_EPA_Clean_Air_Act_Case/Background/Oxygen Enrichment - Cement Review - May 2001.pdf
07_EPA_Clean_Air_Act_Case,Background,cemex_petition2008.pdf,,Document,,pdf,07_EPA_Clean_Air_Act_Case/Background/cemex_petition2008.pdf
07_EPA_Clean_Air_Act_Case,Background,oxygenenrichmentatcemex-130424035523-phpapp01 (1).pdf,,Document,,pdf,07_EPA_Clean_Air_Act_Case/Background/oxygenenrichmentatcemex-130424035523-phpapp01 (1).pdf
07_EPA_Clean_Air_Act_Case,Consent_Decree_2013,2013 - CEMEX Lyons - Consent Decree with EPA.pdf,2013-00-00,Consent decree,,pdf,07_EPA_Clean_Air_Act_Case/Consent_Decree_2013/2013 - CEMEX Lyons - Consent Decree with EPA.pdf
07_EPA_Clean_Air_Act_Case,Exhibits,03912300137.pdf,,Document,,pdf,07_EPA_Clean_Air_Act_Case/Exhibits/03912300137.pdf
07_EPA_Clean_Air_Act_Case,Exhibits,03913501309.pdf,,Document,,pdf,07_EPA_Clean_Air_Act_Case/Exhibits/03913501309.pdf
07_EPA_Clean_Air_Act_Case,Exhibits,03913501322.pdf,,Document,,pdf,07_EPA_Clean_Air_Act_Case/Exhibits/03913501322.pdf
07_EPA_Clean_Air_Act_Case,Exhibits,03913713203.pdf,,Document,,pdf,07_EPA_Clean_Air_Act_Case/Exhibits/03913713203.pdf
07_EPA_Clean_Air_Act_Case,Exhibits,03913713204.pdf,,Document,,pdf,07_EPA_Clean_Air_Act_Case/Exhibits/03913713204.pdf
07_EPA_Clean_Air_Act_Case,Exhibits,03913713205.pdf,,Document,,pdf,07_EPA_Clean_Air_Act_Case/Exhibits/03913713205.pdf
07_EPA_Clean_Air_Act_Case,Exhibits,03913713206 - Modifications.pdf,,Document,,pdf,07_EPA_Clean_Air_Act_Case/Exhibits/03913713206 - Modifications.pdf
07_EPA_Clean_Air_Act_Case,Exhibits,03913713208 - Mods and Year.pdf,,Document,,pdf,07_EPA_Clean_Air_Act_Case/Exhibits/03913713208 - Mods and Year.pdf
07_EPA_Clean_Air_Act_Case,Exhibits,03914235244.pdf,,Document,,pdf,07_EPA_Clean_Air_Act_Case/Exhibits/03914235244.pdf
07_EPA_Clean_Air_Act_Case,Exhibits,Exhibit 7 - Patent - 03913713209.pdf,,Document,,pdf,07_EPA_Clean_Air_Act_Case/Exhibits/Exhibit 7 - Patent - 03913713209.pdf
07_EPA_Clean_Air_Act_Case,Exhibits,Exhibit 9 - 03913713211.pdf,,Document,,pdf,07_EPA_Clean_Air_Act_Case/Exhibits/Exhibit 9 - 03913713211.pdf
07_EPA_Clean_Air_Act_Case,Exhibits,Fox - 03913501316.pdf,,Document,,pdf,07_EPA_Clean_Air_Act_Case/Exhibits/Fox - 03913501316.pdf
07_EPA_Clean_Air_Act_Case,Expert_Reports_and_Depositions,Deposition of John Lohr - 03913713207.pdf,,Deposition,,pdf,07_EPA_Clean_Air_Act_Case/Expert_Reports_and_Depositions/Deposition of John Lohr - 03913713207.pdf
07_EPA_Clean_Air_Act_Case,Expert_Reports_and_Depositions,Expert - CEMEX - Davis - 03913501313.pdf,,Expert report,,pdf,07_EPA_Clean_Air_Act_Case/Expert_Reports_and_Depositions/Expert - CEMEX - Davis - 03913501313.pdf
07_EPA_Clean_Air_Act_Case,Expert_Reports_and_Depositions,Expert - CEMEX - Hofmann - 03913501314.pdf,,Expert report,,pdf,07_EPA_Clean_Air_Act_Case/Expert_Reports_and_Depositions/Expert - CEMEX - Hofmann - 03913501314.pdf
07_EPA_Clean_Air_Act_Case,Expert_Reports_and_Depositions,Expert Report - CEMEX - Young - 03913501315.pdf,,Report,,pdf,07_EPA_Clean_Air_Act_Case/Expert_Reports_and_Depositions/Expert Report - CEMEX - Young - 03913501315.pdf
07_EPA_Clean_Air_Act_Case,Expert_Reports_and_Depositions,Greer - 03913501319.pdf,,Document,,pdf,07_EPA_Clean_Air_Act_Case/Expert_Reports_and_Depositions/Greer - 03913501319.pdf
07_EPA_Clean_Air_Act_Case,Expert_Reports_and_Depositions,Greer Expert Testimony -03913501312.pdf,,Expert report,,pdf,07_EPA_Clean_Air_Act_Case/Expert_Reports_and_Depositions/Greer Expert Testimony -03913501312.pdf
07_EPA_Clean_Air_Act_Case,Expert_Reports_and_Depositions,US Expert Report - Fox - 03913501311.pdf,,Report,,pdf,07_EPA_Clean_Air_Act_Case/Expert_Reports_and_Depositions/US Expert Report - Fox - 03913501311.pdf
07_EPA_Clean_Air_Act_Case,Expert_Reports_and_Depositions,Venner Expert Report - 03913501320.pdf,,Report,,pdf,07_EPA_Clean_Air_Act_Case/Expert_Reports_and_Depositions/Venner Expert Report - 03913501320.pdf
07_EPA_Clean_Air_Act_Case,Expert_Reports_and_Depositions,Westline - Expert Report - 03913501321.pdf,,Report,,pdf,07_EPA_Clean_Air_Act_Case/Expert_Reports_and_Depositions/Westline - Expert Report - 03913501321.pdf
07_EPA_Clean_Air_Act_Case,Pleadings_and_Filings,Amended Complaint - 2009.03.11.pdf,2009-00-00,Pleading,,pdf,07_EPA_Clean_Air_Act_Case/Pleadings_and_Filings/Amended Complaint - 2009.03.11.pdf
07_EPA_Clean_Air_Act_Case,Pleadings_and_Filings,CEMEX Response to Amended Complaint - 03912187831.pdf,,Pleading,,pdf,07_EPA_Clean_Air_Act_Case/Pleadings_and_Filings/CEMEX Response to Amended Complaint - 03912187831.pdf
07_EPA_Clean_Air_Act_Case,Pleadings_and_Filings,CM_ECF - U.S. District Court_cod - attorneys list.pdf,,Document,,pdf,07_EPA_Clean_Air_Act_Case/Pleadings_and_Filings/CM_ECF - U.S. District Court_cod - attorneys list.pdf
07_EPA_Clean_Air_Act_Case,Pleadings_and_Filings,CM_ECF - U.S. District Court_cod - documentspdf.pdf,,Document,,pdf,07_EPA_Clean_Air_Act_Case/Pleadings_and_Filings/CM_ECF - U.S. District Court_cod - documentspdf.pdf
07_EPA_Clean_Air_Act_Case,Pleadings_and_Filings,CM_ECF - U.S. District Court_cod.pdf,,Document,,pdf,07_EPA_Clean_Air_Act_Case/Pleadings_and_Filings/CM_ECF - U.S. District Court_cod.pdf
07_EPA_Clean_Air_Act_Case,Pleadings_and_Filings,"EPA Response to CEMEX_s Motion to Dismiss, 03912270095.pdf",,Pleading,,pdf,"07_EPA_Clean_Air_Act_Case/Pleadings_and_Filings/EPA Response to CEMEX_s Motion to Dismiss, 03912270095.pdf"
07_EPA_Clean_Air_Act_Case,Pleadings_and_Filings,Orig Complaint - 2009.01.06.pdf,2009-00-00,Pleading,,pdf,07_EPA_Clean_Air_Act_Case/Pleadings_and_Filings/Orig Complaint - 2009.01.06.pdf
07_EPA_Clean_Air_Act_Case,Pleadings_and_Filings,Transript on Motion Hearing - 03914098733.pdf,,Pleading,,pdf,07_EPA_Clean_Air_Act_Case/Pleadings_and_Filings/Transript on Motion Hearing - 03914098733.pdf
07_EPA_Clean_Air_Act_Case,Pleadings_and_Filings,US Motion for Partial Summary Judgement - 03913713202.pdf,,Pleading,,pdf,07_EPA_Clean_Air_Act_Case/Pleadings_and_Filings/US Motion for Partial Summary Judgement - 03913713202.pdf
08_Operational_History_and_Traffic,,CEMEX LTR of Termination ZON_23_0003 (2).pdf,,Document,,pdf,08_Operational_History_and_Traffic/CEMEX LTR of Termination ZON_23_0003 (2).pdf
08_Operational_History_and_Traffic,,CEMEX Lyons Access TIS - Appendices (1).pdf,,Document,,pdf,08_Operational_History_and_Traffic/CEMEX Lyons Access TIS - Appendices (1).pdf
08_Operational_History_and_Traffic,,CEMEX aerial photos EXCEL.xlsx,,Spreadsheet,,xlsx,08_Operational_History_and_Traffic/CEMEX aerial photos EXCEL.xlsx
08_Operational_History_and_Traffic,,CEMEX airphoto study report 2025.pages,2025-00-00,Report,,pages,08_Operational_History_and_Traffic/CEMEX airphoto study report 2025.pages
08_Operational_History_and_Traffic,,CEMEX airphoto study report 2025.pdf,2025-00-00,Report,,pdf,08_Operational_History_and_Traffic/CEMEX airphoto study report 2025.pdf
08_Operational_History_and_Traffic,,Original Traffic Study - CEMEX Lyons Access TIS - Final_09.01.2023 (1).pdf,2023-00-00,Document,,pdf,08_Operational_History_and_Traffic/Original Traffic Study - CEMEX Lyons Access TIS - Final_09.01.2023 (1).pdf
08_Operational_History_and_Traffic,,Silican Quarry  - DRMS 1977 Permit - PERMFILE63800.pdf,1977-00-00,Permit,,pdf,08_Operational_History_and_Traffic/Silican Quarry  - DRMS 1977 Permit - PERMFILE63800.pdf
08_Operational_History_and_Traffic,1994_Operational_Baseline,013-0003-003_1991 INSP RPT__2 15 1991 (1).pdf,1991-00-00,Inspection,,pdf,08_Operational_History_and_Traffic/1994_Operational_Baseline/013-0003-003_1991 INSP RPT__2 15 1991 (1).pdf
08_Operational_History_and_Traffic,1994_Operational_Baseline,"013-0095_1985 INSP RPT_C12,444_2 12 1985.pdf",1985-00-00,Inspection,,pdf,"08_Operational_History_and_Traffic/1994_Operational_Baseline/013-0095_1985 INSP RPT_C12,444_2 12 1985.pdf"
08_Operational_History_and_Traffic,1994_Operational_Baseline,013-0095_1985 INSP RPT__6 17 1985.pdf,1985-00-00,Inspection,,pdf,08_Operational_History_and_Traffic/1994_Operational_Baseline/013-0095_1985 INSP RPT__6 17 1985.pdf
08_Operational_History_and_Traffic,1994_Operational_Baseline,"013-0095_1986 INSP RPT_C-12,441_2 12 1986.pdf",1986-00-00,Inspection,,pdf,"08_Operational_History_and_Traffic/1994_Operational_Baseline/013-0095_1986 INSP RPT_C-12,441_2 12 1986.pdf"
08_Operational_History_and_Traffic,1994_Operational_Baseline,"013-0095_1987 INSP RPT_C12,444_10 16 1987.pdf",1987-00-00,Inspection,,pdf,"08_Operational_History_and_Traffic/1994_Operational_Baseline/013-0095_1987 INSP RPT_C12,444_10 16 1987.pdf"
08_Operational_History_and_Traffic,1994_Operational_Baseline,013-0095_1990 INSP RPT SUPP DOCS__12 19 1990.pdf,1990-00-00,Inspection,,pdf,08_Operational_History_and_Traffic/1994_Operational_Baseline/013-0095_1990 INSP RPT SUPP DOCS__12 19 1990.pdf
